1080	0.00032204	5.90E-06	2	0.00032234	5.98E-06	2	0.0003217	6.23E-06	2
1090	0.00031995	5.88E-06	2	0.00032025	5.96E-06	2	0.00031962	6.20E-06	2
1100	0.00031788	5.87E-06	2	0.00031817	5.95E-06	2	0.00031756	6.17E-06	2
1110	0.00031582	5.86E-06	2	0.0003161	5.93E-06	2	0.00031551	6.13E-06	2
1120	0.00031378	5.84E-06	2	0.00031405	5.91E-06	2	0.00031348	6.10E-06	2
1130	0.00031175	5.83E-06	2	0.00031201	5.89E-06	2	0.00031145	6.07E-06	2
1140	0.00030973	5.81E-06	2	0.00030999	5.87E-06	2	0.00030944	6.04E-06	2
1150	0.00030773	5.79E-06	2	0.00030797	5.85E-06	2	0.00030744	6.01E-06	2
1160	0.00030574	5.77E-06	2	0.00030597	5.83E-06	2	0.00030546	5.98E-06	2
1170	0.00030376	5.76E-06	2	0.00030399	5.81E-06	2	0.00030349	5.95E-06	2
1180	0.00030179	5.74E-06	2	0.00030201	5.78E-06	2	0.00030153	5.92E-06	2
1190	0.00029984	5.72E-06	2	0.00030005	5.76E-06	2	0.00029958	5.89E-06	2
1200	0.0002979	5.70E-06	2	0.0002981	5.74E-06	2	0.00029765	5.85E-06	2
1210	0.00029597	5.67E-06	2	0.00029617	5.72E-06	2	0.00029573	5.82E-06	2
1220	0.00029405	5.65E-06	2	0.00029424	5.69E-06	2	0.00029382	5.79E-06	2
1230	0.00029215	5.63E-06	2	0.00029233	5.67E-06	2	0.00029192	5.76E-06	2
1240	0.00029026	5.61E-06	2	0.00029044	5.64E-06	2	0.00029004	5.73E-06	2
1250	0.00028838	5.59E-06	2	0.00028855	5.62E-06	2	0.00028817	5.69E-06	2
1260	0.00028652	5.56E-06	2	0.00028668	5.59E-06	2	0.00028631	5.66E-06	2
1270	0.00028466	5.54E-06	2	0.00028481	5.57E-06	2	0.00028446	5.63E-06	2
1280	0.00028282	5.51E-06	2	0.00028296	5.54E-06	2	0.00028262	5.60E-06	2
1290	0.00028099	5.49E-06	2	0.00028113	5.51E-06	2	0.0002808	5.57E-06	2
1300	0.00027917	5.46E-06	2	0.0002793	5.49E-06	2	0.00027899	5.53E-06	2
1310	0.00027736	5.44E-06	2	0.00027749	5.46E-06	2	0.00027719	5.50E-06	2
1320	0.00027557	5.41E-06	2	0.00027569	5.43E-06	2	0.0002754	5.47E-06	2
1330	0.00027378	5.39E-06	2	0.0002739	5.40E-06	2	0.00027362	5.44E-06	2
1340	0.00027201	5.36E-06	2	0.00027212	5.38E-06	2	0.00027185	5.41E-06	2
1350	0.00027025	5.33E-06	2	0.00027035	5.35E-06	2	0.0002701	5.37E-06	2
1360	0.0002685	5.31E-06	2	0.00026859	5.32E-06	2	0.00026835	5.34E-06	2
1370	0.00026676	5.28E-06	2	0.00026685	5.29E-06	2	0.00026662	5.31E-06	2
1380	0.00026504	5.25E-06	2	0.00026512	5.26E-06	2	0.0002649	5.28E-06	2
1390	0.00026332	5.22E-06	2	0.00026339	5.23E-06	2	0.00026319	5.25E-06	2
1400	0.00026162	5.19E-06	2	0.00026168	5.20E-06	2	0.00026149	5.21E-06	2
1410	0.00025992	5.17E-06	2	0.00025998	5.17E-06	2	0.0002598	5.18E-06	2
1420	0.00025824	5.14E-06	2	0.0002583	5.14E-06	2	0.00025813	5.15E-06	2
1430	0.00025657	5.11E-06	2	0.00025662	5.11E-06	2	0.00025646	5.12E-06	2
1440	0.00025491	5.08E-06	2	0.00025495	5.08E-06	2	0.00054		0.0028		0.91
1450	0.00025326	5.05E-06	2	0.0002533	5.05E-06	2	0.00125		0.00482		1.6
1460	0.00025162	5.02E-06	2	0.00046		0.00083		1.9	0.00248		0.00725		2.1
1470	0.00048		0.0023		0.82	0.00123		0.00218		1.9	0.00413		0.0096		2
1480	0.00119		0.00395		1.4	0.00307		0.00524		1.9	0.00582		0.0114		1.8
1490	0.00266		0.00632		2	0.0066		0.0101		1.7	0.00711		0.0124		1.7
1500	0.0053		0.00917		2	0.0104		0.0128		1.4	0.00784		0.0128		1.6
1510	0.00918		0.0118		1.7	0.0115		0.0124		1.5	0.00815		0.013		1.6
